"研究課題名","研究課題名 (英文)","研究課題/領域番号","研究期間 (年度)","研究代表者","研究分担者","連携研究者","研究協力者","特別研究員","外国人特別研究員","受入研究者","キーワード","研究分野","審査区分","研究種目","研究機関","応募区分","総配分額","総配分額 (直接経費)","総配分額 (間接経費)","各年度配分額","各年度配分額 (直接経費)","各年度配分額 (間接経費)","現在までの達成度 (区分コード)","現在までの達成度 (区分)","理由","研究概要","研究概要 (英文)","研究成果の概要","研究成果の概要 (英文)","研究実績の概要","現在までの達成度 (段落)","今後の研究の推進方策","次年度の研究費の使用計画","次年度使用額が生じた理由","次年度使用額の使用計画","自由記述の分野","評価記号","備考"
"手話言語認知を考慮したコミュニケーション支援に関する研究","Study on Communication Support in Consideration of the Sign Language Recognition","23240087","2011-04-01 – 2014-03-31","長嶋 祐二 工学院大学, 情報工学部, 教授 (50138137)","神田 和幸 中京大学, 国際教養学部, 教授 (70132123)","","","","","","手話工学 / コミュニケーション支援 / 福祉工学 / 言語認知 / 手話アニメーション","リハビリテーション科学・福祉工学 / 人間医工学 / 総合領域 / 総合・新領域系","","基盤研究(A)","工学院大学","一般","49400000","38000000","11400000","2011:30160000 2012:12740000 2013:6500000","2011:23200000 2012:9800000 2013:5000000","2011:6960000 2012:2940000 2013:1500000","","","","本研究では、手話の言語的な構造に注目した新しい記述モデルの提案を行った。さらに、医療現場でのコミュニケーション支援に必要な911 単語の医療用手話表現を専門家チームを作り作成し、モーションキャプチャにより3 次元動作収集を行い、医療用単語手話データベースを構築した。また、わかりづらい医療用語などには手話で解説文の作成を行った。
3 次元動作解析ツールを開発し、構築した医療用手話単語の形態素切り出しと分析の作業を開始した。","This study proposes a new description method with a focus on the linguistic structure of sign language.For the purpose of the communication support of the healthcare scene, we have compiled and collected 911 medical sign language words that are more easily understandable and are in wider usage.Three-dimensional motions for these 911 words were acquired through an optical motion capture system, and created the database that was experimentally developed. We created explanatory text using sign language for confusing medical terms. We developed a three-dimensional movement analysis tool and started the work of the morpheme analysis of the medical sign language word.","","","","","","","","","","",""
"大域情報を利用した同時処理による自然言語解析手法の研究","Joint Natural Language Processing with Global Information","23240020","2011-04-01 – 2014-03-31","松本 裕治 奈良先端科学技術大学院大学, 情報科学研究科, 教授 (10211575)","新保 仁 奈良先端科学技術大学院大学, 情報科学研究科, 准教授 (90311589)
DUH Kevin 奈良先端科学技術大学院大学, 情報科学研究科, 助教 (80637322)
小町 守 首都大学東京, システムデザイン研究科, 准教授 (60581329)
浅原 正幸 奈良先端科学技術大学院大学, 情報科学研究科, 助教 (80379528)","","","","","","自然言語処理 / 機械学習 / 形態素解析 / 統語解析 / 述語項構造解析 / 同時処理 / 大域情報 / 言語資源","知能情報学 / 情報学 / 総合領域 / 総合・新領域系","","基盤研究(A)","奈良先端科学技術大学院大学","一般","38480000","29600000","8880000","2011:13130000 2012:13130000 2013:12220000","2011:10100000 2012:10100000 2013:9400000","2011:3030000 2012:3030000 2013:2820000","","","","自然言語処理の基本的な解析法である単語分かち書き、品詞解析、統語解析、述語項構造解析に対して、広い情報および複数の解析の同時処理に関する研究を行った。
英語に関して、品詞解析と統語解析をつなぐ情報として機能として複単語表現の収集とそれを用いた品詞解析および統語解析の性能向上を実現した。統語解析について、トップダウンとボトムアップの情報の同時利用が可能な解析手法や複数の解候補の大域的な違いを同時に考慮するため統語森から最適解を選択する手法を提案した。
述語項構造解析について、様々な素性とそれらを同時利用する方法の提案、および、Markov Logic Networksを利用する手法を提案した。","We investigated the usage of global information for joint processing of natural language processing such as word segmentation, part-of-speech tagging, parsing and predicate argument structure analysis.
For English, we collected multi-word expressions that act as functional words and implemented part-of-speech tagging and syntactic analysis using them.  We also proposed various syntactic processing methods, one that utilizes both top-down and bottom-up information jointly and another that keeps multiple candidates in the form of parse forest and uses re-ranking algorithm to select the best answer.
For predicate argument structure analysis, we proposed a method that utilizes various types of features in a joint framework and another method that used Markov Logic Networks to incorporate various constraints jointly.","","","","","","","","","","",""
"ネット上の医療・健康情報の健全な利活用を可能にするヘルスリテラシー支援環境","Supporting the effective use of health-related online information through the enhancement of health literacy","23240018","2011-04-01 – 2015-03-31","乾 健太郎 東北大学, 情報科学研究科, 教授 (60272689)","岡崎 直観 東北大学, 情報科学研究科, 准教授 (50601118)
楠見 孝 京都大学, 教育学研究科(研究院), 教授 (70195444)
渡邉 陽太郎 東北大学, 情報科学研究科, 助教 (70583326)","","","","","","自然言語処理 / 情報分析 / 情報信頼性 / 教育心理学 / 批判的思考 / ヘルスリテラシー / 言語意味解析 / 含意関係認識 / 意見分析 / 情報信憑性 / ヘルスリテラシ-","知能情報学 / 情報学 / 総合領域 / 総合・新領域系","","基盤研究(A)","東北大学","一般","45370000","34900000","10470000","2011:11830000 2012:11180000 2013:11180000 2014:11180000","2011:9100000 2012:8600000 2013:8600000 2014:8600000","2011:2730000 2012:2580000 2013:2580000 2014:2580000","","","","","","(i) Web上の様々な医療・健康情報の間に潜在的に存在する同意、対立、根拠等の隠れた論理的関係を同定する言論間関係認識技術を研究開発した。(ii) (i)の要素技術として、大規模言語データからの知識獲得、述語項構造解析の洗練、仮説推論の高速化と機械学習に関する研究に取り組んだ。(iii) (i)(ii)の技術をソーシャルメディア上の情報に対する信頼性分析に応用し、ソーシャルメディア分析のケーススタディを行った。(iv) ネット調査を行い、批判的思考態度や教育歴がヘルスリテラシーを高め、適切なネット上の医療・健康、食品安全性に関する情報の利活用を促進していることを明らかにした。","This project (i) developed a computational model for recognizing the logical relations between health-related textual information across Wed documents, (ii) conducted research on large-scale knowledge acquisition from documents, predicate-argument structure analysis, and scalable and trainable abductive reasoning as the basic technologies for (i), (iii) conducted several case studies of social media analysis based on (i) and (ii), and (iv) revealed through net surveys that critical thinking and education helps health literacy and enhances the effective use of health-related information on the Web.","","","","","","","","",""
"高階モデル検査とその応用","Higher-Order Model Checking and its Applications","23220001","2011-05-31 – 2016-03-31(予定)","小林 直樹 東京大学, 情報理工学(系)研究科, 教授 (00262155)","篠原 歩 東北大学, 大学院情報科学研究科, 教授 (00226151)
五十嵐 淳 京都大学, 大学院情報学研究科, 教授 (40323456)
海野 広志 筑波大学, 大学院システム情報工学研究科, 助教 (80569575)","寺内 多智弘 北陸先端科学技術大学院大学, 情報科学研究科, 教授 (70447150)
住井 英二郎 東北大学, 大学院情報科学研究科, 教授 (00333550)
松田 一孝 東北大学, 大学院情報科学研究科, 准教授 (10583627)","","","","","高階モデル検査 / プログラム検証 / データ圧縮 / 高階文法 / 型システム / 関数型プログラム / 関数型言語 / 高階再帰スキーム / 型理論","情報学基礎 / 情報学 / 総合領域 / 総合・新領域系","","基盤研究(S)","東京大学(2012-2015) / 東北大学(2011)","","137540000","105800000","31740000","2011:22620000 2012:28730000 2013:28080000 2014:29120000 2015:28990000","2011:17400000 2012:22100000 2013:21600000 2014:22400000 2015:22300000","2011:5220000 2012:6630000 2013:6480000 2014:6720000 2015:6690000","","","","","","本研究の中心テーマである高階モデル検査とは、代表的なシステム検証手法であるモデル検査の拡張であり、2009年に研究代表者の小林によって初めて現実的な高階モデル検査アルゴリズムおよびプログラム検証への応用が見出された。本研究課題はその結果を受けて行った研究であり、高階モデル検査器の大幅な高速化、高階モデル検査に基づく全自動プログラム検証器の構築、高階モデル検査のデータ圧縮への応用（データをそれを生成する関数型プログラムの形に圧縮し、圧縮したままのデータ操作を実現）などの成果を得た。","The main topic of this research project was higher-order model checking, which is an extension of model checking, a representative method for system verification. In 2009, Kobayashi, the leader of this project, has developed the first practical algorithm for higher-order model checking, and also shown that higher-order model checking is useful for program verification. This research project has been launched to extend his results. The major results include: the development of much faster higher-order model checkers, implementation of fully-automated tools for program verification, and applications to data compression (where data are compressed in the form of functional programs that generate them, and compressed data are manipulated without decompression).","","","","","","","","検証結果 (区分) A
評価結果 (区分) A: 当初目標に向けて順調に研究が進展しており、期待どおりの成果が見込まれる",""
"大規模テキスト処理のためのスーパータグを用いた高精度かつ高速な深い構文解析","","11J09447","2011 – 2012","","","","","張 耀中 東京大学, 大学院・情報理工学系研究科, 特別研究員(PD)","","","分布意味論 / リッジ回帰 / 半教師あり学習 / グローバルな推論 / structure-guided / long-range grammar constraints / dependency-based / HPSG / indirect supervision","知能情報学 / 情報学 / 総合領域","","特別研究員奨励費","東京大学","国内","1300000","1300000","","2011:700000 2012:600000","2011:700000 2012:600000","2011:0 2012:0","","","","2年目にあたる平成24年度の研究活動は順調に進展して来た。今年度は海外の研究者とも密な連携を行い、二つの方面で研究を進展させた。
まず、分布意味論(distributional semantics)の分野において、句構造に対する高効率かつ高精度の意味予測手法を開発した。従来のPLS回帰では高次元の意味表現データについては大きな計算コストをかける必要があるのに対して、リッジ回帰と一般化交差検定を用いることで訓練過程を単純化し、精度を向上させつつ6倍程度の高速化に成功した。
本手法は、3単語以上の長い句構造の意味予測タスクに対して、最先端の手法と比べて遜色ない成果を上げることが分かっている。更にこのような分布意味論を深い構文情報と組み合わせることで、文全体の意味を予測する手法も実装した。これらの研究成果は、国際会議(The 10th International Conference on Computational Semantics)において2報の論文にまとめ発表した。また論文誌(Natural Language Engineering)にも投稿を予定している。
一方、半教師あり学習とグローバルな推論を組み合わせた手法について研究を行った。ローカルな学習とグローバルな推論を組み合わせた手法は、自然言語処理における複雑な問題に対して有効であることが分かっている。この手法を用いて、新聞記事における事象とその時間表現を対象とし、各事象の時間的な順序関係を推定した。ラベル付きデータの数は限られているため、意味役割付与の手法を用いてラベルなしデータに対しても事象および時間表現を抽出し、半教師あり学習とグローバルな推論を組み合わせることで、推定精度(F値)を44.71%から48.29%まで向上させることに成功した。今後、この手法をsupertaggingタスクに応用し、その成果を今年度の国際会議(EMNLP)に投稿する予定である。","","","","","","","","","","","",""
"構文構造の異なる言語間での統計的機械翻訳方式に関する研究","","11J09312","2011 – 2012","","","","","林 克彦 奈良先端科学技術大学院大学, 情報科学研究科, 特別研究員(DC2)","","","機械翻訳 / 構文解析","知能情報学 / 情報学 / 総合領域","","特別研究員奨励費","奈良先端科学技術大学院大学","国内","1300000","1300000","","2011:700000 2012:600000","2011:700000 2012:600000","2011:0 2012:0","","","","言語の構文構造が異なる言語間の翻訳をうまく行うため,入力となる文の構文構造を求め,そこから適切な語順に並び替えることを行う方式を初年度に開発した.翻訳精度をさらに高めるためには,高い解析精度を達成することができる構文解析器が必要となる.本年度は,翻訳精度を向上させるため,入力文の構文解析器の精度を向上させる研究を行った.
具体的には,シフトレデュース構文解析法の精度を改善するための研究を行った.シフトレデュース法は高速に動作する反面,解析精度は悪い.シフトレデュース法の精度を改善するため,レランキングによる方法を開発した.この手法は一度,シフトレデュース法で高速に解候補を列挙し,そこからより精巧なモデルでさらに良い解を求めるという方式である.本研究は英語文の構文解析タスクにおいて,シフトレデュース法の解析速度を大きく損なうことなく,現在,最高精度の解析精度を達成した.
また,シフトレデュース法における構造的曖昧性として知られる有名な問題を完全に解消するための手法も開発した.構造的曖昧性を持つ解析器では,ある入力に対して,同じ結果を出す過程が複数存在するため,解析の効率が悪くなることが知られていた.本研究では,アーリー法と呼ばれる構文解析法の技術をシフトレデュース法に応用することで,その問題を解決するための手法を開発した.この手法はシフトレデュース法の利点を全く損なうことなく,より高い解析効率と精度を達成することが実験的にも確認できた.また,上述したレランキングの精度を向上させる上でも,重要な手法であることも実験的に示すことができた.
これら一連の研究成果を分野最高峰の国際ジャーナルTransaction of ACLに投稿し,採録が決定した.","","","","","","","","","","","",""
"画像処理理論から観る脳の視覚計算理論","","11J07556","2011 – 2013","","","","","佐々木 博昭 電気通信大学, 大学院情報理工学研究科, 特別研究員(PD)","","","sparse符号化 / 視覚野 / 画像処理 / 独立成分分析 / 特徴抽出 / 機械学習 / 初期視覚野","融合基盤脳科学 / 脳神経科学 / 総合領域","","特別研究員奨励費","電気通信大学","国内","2400000","2400000","","2011:800000 2012:800000 2013:800000","2011:800000 2012:800000 2013:800000","2011:0 2012:0 2013:0","","","","平成25年度は, 前年度構築した correlated topographic analysis (以下, CTA)に関する学術論文が受理され, 出版された. (Machine Learning vol. 92, pp. 285-317)
平成25年度に新たに取り組んだ研究の1つとして, CTAをさらに拡張する手法を構築し, 提案した. 具体的な違いについて述べると, 先に提案したCTAでは, 近傍の特徴間にのみ統計的な依存性が存在することを仮定し, 特徴とその順序関係を推定した, これに対して, 新しく提案した手法では, 特徴間の依存構造を固定するのではなく, 入力データから特徴と特徴間の依存構造を推定する.
得られた研究結果について述べる, 提案手法と過去の手法を比較すると, 提案手法は, 独立成分分析(以下, ICA)とCTAをある特別な場合として含む, より一般化する手法であることが分かった. また, 自然画像を入力として数値実験を行った結果, 拡張CTAによって推定された個々の画像特徴とその空間分布は, 脳の第一視覚野の単純型細胞の受容野と類似した性質を示し, それら画像特徴間の興味深い依存構造も推定された. 具体的には, 類似した性質をもつ特徴は, 依存性が強い傾向にあった. 加えて, その依存構造は無向グラフとして表現することができ, 依存構造を視覚化できる. 他に, 第一次視覚野における複雑型細胞モデルを用いた数値実験も行い, 同様に, 特徴間の依存構造が推定された. この手法に関する研究成果は, 国内外の学会で発表しており, また, 研究成果をまとめた論文を国際会議Artificial Intelligence & Statistics (AISTATS) 2014に投稿し, 受理, 出版されている.
上記した研究以外にも, CTAを用いた画像のノイズ除去やパターン認識のための主成分分析, ICAを用いた階層的特徴抽出手法に関する研究も行った. これらの研究成果については, 学会発表を行っていないが, 階層的特徴抽出については発展の可能性があり, 今後の課題として挙げておきたい.","","","","","","(抄録なし)","","","","","",""
"音楽聴取によってもたらされる鳥肌を伴った強烈な感情反応の生起要因に関する研究","","11J06670","2011 – 2012","","","","","森 数馬 広島大学, 大学院・総合科学研究科, 特別研究員(DC2)","","","感情 / 自律神経 / 音楽 / 心理音響 / 自然言語 / 性格特性 / 時系列データ","実験心理学 / 心理学 / 社会科学","","特別研究員奨励費","広島大学","国内","1300000","1300000","","2011:700000 2012:600000","2011:700000 2012:600000","2011:0 2012:0","","","","本年度は,音楽聴取により生じる鳥肌感(鳥肌が立つ,ぞくぞくするような感覚)と涙感(涙ぐむ,胸が締めつけられるような感覚)について,心理生理実験,質問紙調査,心理音響分析,自然言語処理によって検討を行った。
心理生理実験では,前年度に行った鳥肌感と涙感が単独で生起する場合の検討を基に,鳥肌感と涙感が同時生起する場合の検討を行った。具体的には,音楽聴取中に鳥肌感が生じた場合にはマウスの左クリックを,涙感が生じた場合には右クリックを押させて,それらの感覚が同時生起した前後15sの自律神経系生理反応を検討した。その結果,鳥肌感と涙感の同時生起付近では,心拍数の上昇中に,皮膚電気反応が上昇した後に,呼吸が深く,遅くなるという時系列的な生理反応の変化が認められた。これらは,音楽聴取によって鳥肌感と涙感が単独生起した反応を合成した生理反応であり,両反応は同時生起により生理的に統合されることが示された。
さらに,音楽聴取前の参加者の心理生理状態を検討した結果,安静時の心拍変動が小さく生理覚醒している参加者ほど,鳥肌感が生起しやすいと示されるとともに,心拍変動が大きく生理沈静している参加者ほど,鳥肌感と涙感が同時生起しやすいと示された。質問紙調査では,日常的に音楽聴取で鳥肌感が生じやすい人が行動賦活(BAS)傾向が高く,涙感が生じやすい人が共感特性が高いと示された。鳥肌感と涙感の両方が生じやすい人は共感特性が高く,行動抑制(BIS)傾向が低いとが示された。心理音響分析では,鳥肌感の生起する前後で音量,変動感,音高が上昇するのに対し,涙感の生起する前後では音量と変動感のみが上昇すると示された。鳥肌感と涙感が同時生起する前後では,音量,変動感,音高が上昇した後に,音量と変動感が再び上昇することが示された。自然言語処理では,鳥肌感および涙感の単独生起,鳥肌感と涙感の同時生起のそれぞれに対して,ポジティブ語よりもネガティブ語の影響が強いことが示された.これらから.音楽聴取によって生じる鳥肌感と涙感を生起させる要因の一端が明らかにされた.","","","","","","","","","","","",""
"可算性のダイナミズム－英語名詞句構造の理論的展開に向けて－","","11J01754","2011 – 2013","","","","","木本 幸憲 京都大学, 人間・環境学研究科, 特別研究員(DC1)","","","アルタ語 / 可算性 / 間接照応 / 冠詞 / 認知言語学 / 英語 / 類型論 / 名詞句 / 属格","英語学 / 言語学 / 人文学","","特別研究員奨励費","京都大学","国内","1900000","1900000","","2011:700000 2012:600000 2013:600000","2011:700000 2012:600000 2013:600000","2011:0 2012:0 2013:0","","","","研先内容
今年度は、以下のことを中心に行った。
1. フィリピン共和国のアルタ人によって話されている言語、アルタ語(Arta)の記述を前年度に引き続き行う。
2. そのデータを元に英語との名詞句構造の比較を行う。
研究結果
1. に関しては、前年度に引き続き、類型論的な比較の基となる、言語記述を進めていった。基本的な音韻論の他、人称代名詞の形態音素的交替も明確に記述することが出来た。また文法調査でも数時間の談話コーパスが構築されたことにより、決定詞・指示詞の意味的側面なども明らかになった。
2. に関しては、1年目に行った英語での可算性の研究では、特に固有名詞と親族名称、そして呼格的用法などとの関係性を「無冠詞単数」という表現で現れうるという点で類似性を指摘した。しかしアルタ語を見る限り、それは妥当である部分と妥当でない部分が存在することが明らかになった。すなわち、アルタ語でも固有名詞と親族名称は同様の格標識を用い、普通名詞とは区別される(ti Lando 'Lando', ti ama=ku 'my father' vs. i gilangan 'the man')。これは英語での分析を行ったときに、その意味的共通性を指摘したことから導かれる事実である。一方で呼格はそのような冠詞は付かない。従って、通言語的な検証を今後進めていく中で、1年目での研究で見たネットワークをさらに詳細に検討していく必要性が明らかになった。
意義・重要性
まだ記述されていない言語をサンプル言語とて記述し、メジャーな言語との類型論的比較を行ってきた","","","","","","ただ今後、アルタ語単独の記述研究として進めていく必要がある。","","","","","",""
"階層型自己組織化マップの高速化によるウェブテキスト視覚化とその信頼性推定への応用","","11J01060","2011 – 2012","","","","","豊田 哲也 大学共同利用機関法人情報・システム研究機構, 新領域融合研究センター, 特別研究員(DC2)","","","自己組織化マップ / 自然言語処理 / Wikipedia / 情報可視化","感性情報学・ソフトコンピューティング / 情報学 / 総合領域","","特別研究員奨励費","大学共同利用機関法人情報・システム研究機構(2012) / 筑波大学(2011)","国内","1300000","1300000","","2011:700000 2012:600000","2011:700000 2012:600000","2011:0 2012:0","1","当初の計画以上に進展している","研究課題として挙げた3点の問題点に対して,前年度に2点が解決済みであり,残り2点(前年度の計画では1点であったが進行状況に合わせて追加した)についても本年度中におおよその成果を得ている.SOMにユーザインタラクションの仕組みを組み込むことで,よりユーザのニーズに合わせた情報を抽出できるようになったことから,計画以上の進展があったと思われる.","本研究は,Web上のテキストデータを可視化対象とした、大規模テキスト群可視化システムを構築するために,1.SOMの高速化・大規模化の実現,2.上位概念マップの精度向上,3.インタラクティブなSOMの構築およびフィードバック機能,4.利用実態に合わせたSOMの最適化について検討を行った.このうち1,2については前年度に成果を挙げており,本年度は3,4について主に研究を進めた.これまでの提案手法によるSOMでは,学習結果を一方的に提供しているに過ぎず,どのような経緯からマップが構築されているかをユーザが判断することはできない.テキストクラスタリングはユーザが介在するインタラクティブな要素が含まれている必要があると考えられることから,ユーザの操作によってマップの変化を観察可能なシステムが必要であるとの結論に至った.新たに提案した手法では,ユーザが入力したクエリに対する検索結果群に対してテキスト内のキーワードを抽出し,キーワードとクエリの共通概念をWikipediaから取得する.この概念を用いてテキスト間の類似度を測定し,この類似度に応じてSOMを適用しマップを構築する.ここで構築されたマップは,類似度に基づいた階層構造を有しており,ユーザが類似度を調整することによってデータの分布の変化を観察できる仕組みを組み込むことが可能となった.ユーザが類似率を調整することにより,マップにおける学習結果のアイテムの分布を変化することが可能になり,学習結果の位相情報を保持させることで,学習ごとに異なる学習結果が出力される問題点を解決することが可能となった.さらに,マップの類似度情報によってマップが変化する仕組みは,ユーザの利用実態に合わせたマップの最適化を可能にしており,研究目的および研究実施計画のすべてを達成した.","","","","","研究課題として挙げた3点の問題点に対して,前年度に2点が解決済みであり,残り2点(前年度の計画では1点であったが進行状況に合わせて追加した)についても本年度中におおよその成果を得ている.SOMにユーザインタラクションの仕組みを組み込むことで,よりユーザのニーズに合わせた情報を抽出できるようになったことから,計画以上の進展があったと思われる.","ユーザインタラクションに関して,ユーザの評価や学習結果に対して調整する機能等を追加することにより,より精度の高いマップの構築が可能になると考えられる.この点について現在研究を進めているが,ユーザが入力したクエリとそれに対する検索結果のデータそのものに大きな差異がある場合,SOMのマップについての評価を適切に行うことが困難になることが考えられる.このような検索結果の偏りについては十分に注意が必要であり,検索結果の取得段階で,幅広い内容を網羅したデータ群を選別する機能を搭載する必要があると考えられる.","","","","","",""
"患者の安全状況認識のための定量的アプローチ","","11F01411","2011 – 2014-03-31","","","","","","WONG S.
WONG ShuiYee 東京大学, 政策ビジョン研究センター, 外国人特別研究員","秋山 昌範 東京大学","医療安全 / 患者安全国際分類(ICPS) / 医療安全制度 / インシデントレポートシステム / 自然言語処理(NLP) / 医療情報 / 医療の品質改善 / 医療安全リスクコミュニケーション","社会システム工学・安全システム / 社会・安全システム科学 / 複合新領域","","特別研究員奨励費","東京大学","外国","1300000","1300000","","2011:300000 2012:600000 2013:400000","2011:300000 2012:600000 2013:400000","2011:0 2012:0 2013:0","","","","患者安全は世界中の医療の課題である。世界保健機構(WHO)によると、患者に被害が及んだ事故は300件に1件あり非常に多い。ハイリスクな医療行為によって起こる、長期入院や医療関連感染、利益損失や医療費の増大などが、多くの国で起きている。
自身の統計学に関する専門性を活かし、共同研究は順調に進捗している。患者安全国際分類の概念的枠組みの系統的な分類とヘルスケアフローデータを利用して、私たちは量的なおよび統計的な研究して、ヘルスケア情報システムから正確な臨床・疫学の中身を貰うという可能性を注目します。このプロジェクトは量的方法論を使って患者安全レポートのポテンシャル構造を分析します。このリサーチの目的は:(1)グローバル患者安全システムの系統的な調査、特に日本と香港のシステム。(2)医療インシデントデータセットを使って、医療インシデントのタイプの重要性の調査。(3)テキストマイニングおよび統計学習方法によって、患者安全インシデントのリスク因子に関する研究(4)患者安全システムの系統的な分類構造への提案。このアプローチが患者ケアの品質の新しい展望および重要なインパクトを提供し、患者ケアを改善するために医療インシデント情報の高度な定量分析を促進するであろうことが期待されます。この研究は患者安全の状況認識のため先端アプローチを使用して、医療インシデントのコーパスの隠れた構造を理解するが実証します。テキストマイニングおよび統計モデル化手法を含むアプローチを使用する医療インシデントを分析するは患者安全フィールドへ出現しており、安全状況認識のため医療インシデントテキストデータの分析を新しい展望を開くことができます。","","","","","","","","","","","",""
"日本語文の意味構造解析技術確立に向けた意味構造タグ付きコーパスの作成と応用","Building semantic structure annotation corpus to establish semantic structure analysis technology for Japanese","22800078","2010 – 2011","松林 優一郎 国立情報学研究所, コンテンツ科学研究系, 特任研究員 (20582901)","","","","","","","自然言語処理 / 意味役割 / 述語項構造 / 語彙概念構造 / 語彙意味論 / コーパス / 述語項構造解析 / コーパス設計 / 述語鋼構造解析","知能情報学 / 情報学 / 総合領域 / 総合・新領域系","","研究活動スタート支援","国立情報学研究所","","2379000","1830000","549000","2010:962000 2011:1417000","2010:740000 2011:1090000","2010:222000 2011:327000","","","","日本語文章の意味構造を自動解析する技術を確立する目的で、解析の規範となり、広く応用可能となりうる意味タグ付き文書を作成した。本研究では、特に動詞周辺の意味的構造に着目したが、言葉の意味という明快でない事象を扱うため、まず予め、意味タグ付き文書作成の基盤とする見通しのよい意味構造の理論を設計し、これまで曖昧だった意味タグを明確に定義した。その上で、新聞記事に出現する主要な動詞周辺の意味構造を対象に、この理論を用いた意味タグ付き文書のプロトタイプを作成した。","To automatically analyze the semantic structures of Japanese texts, we created semantically annotated texts that can be a guideline of the analysis for computers. To analyze texts with computers we need a systematic representation of the meaning of language, so we first developed a broadly-applicable theory of meaning to act as a foundation, defining a set of guidelines for representing the semantic structures of verbs. Then, focusing on verbs frequently appearing in news articles, we annotated a collection of texts using these guidelines. The concrete results of our research are a theory for representing the verb meaning of Japanese and a collection of text annotated with these guidelines.","","","","","","","","","","",""
"自然言語処理を応用したコードクローン検出手法","A clone detection method using natural language processing","22800040","2010 – 2011","吉田 則裕 奈良先端科学技術大学院大学, 情報科学研究科, 助教 (00582545)","","","","","","","コードクローン / ソフトウェア保守 / 自然言語処理 / 類義語 / クラスタリング / 国際情報交換 / イギリス","ソフトウエア / 情報学 / 総合領域 / 総合・新領域系","","研究活動スタート支援","奈良先端科学技術大学院大学","","3107000","2390000","717000","2010:1625000 2011:1482000","2010:1250000 2011:1140000","2010:375000 2011:342000","","","","本研究では,変数名等の識別子名の類似性の基づくコードクローン検出ツールを実現した.コードクローンとは,ソースコード中の一部分(コード片)のうち,他のコード片と類似しているものを指す.類似した識別子名の特定には,自然言語処理で用いられている類義語特定手法を用いた.本ツールの評価では,検出したコードクローンが同時に修正される頻度や,同一の欠陥を含む頻度などを調査することで,有用性を確認した.","In this study, we propose a code clone detection tool based on the similarity of identifiers such as variable names. Code clone is a code fragment that has similar code fragment to it in the source code. To identify similar identifier names, we use synonym identification method proposed in natural language processing. As the evaluation of the tool, we confirm the usefulness by the investigation of the frequencies that simultaneous modification is occurred in detected code clones and detected code clones has the same defect.","","","","","","","","","","",""
"ウェブにおけるエンティティ間の関係検索に関する研究","Searching for Semantic Relations between Entities on the Web","22800010","2010 – 2011","ボレガラ ダヌシカ 東京大学, 大学院・情報理工学系研究科, 講師 (10581712)","","","","","","","関係検索 / ウェブ工学 / ウェブマイニング / 情報抽出 / 関係抽出 / データマイニング / ドメイン / 転移学習 / 自然言語処理 / 人工知能 / 機械学習 / ドメイン適応","知能情報学 / 情報学 / 総合領域 / 総合・新領域系","","研究活動スタート支援","東京大学","","3146000","2420000","726000","2010:1638000 2011:1508000","2010:1260000 2011:1160000","2010:378000 2011:348000","","","","本研究では2つのエンティティ間の意味的関係が検索できる潜在関係検索システムを作成しました.尚,関係の対称性に着目をし,同一関係を複数の対称性を使って予測することによって関係類似性計測の精度を向上させた.関係検索の候補のランキングに関するアルゴリズムの設計も行った.研究の成果を国際会議(AAAI 2011)で発表し,英文論文誌(Elsevier IPM)にまとめた.","In this research, I developed a search system that can search for the semantic relations between named entities. In particular, I focused on the symmetries that exist in proportional analogies to accurately estimate the relational similarity between two pairs of entities. Moreover, algorithms were developed to accurately rank the search results using relational similarity. The outcome of this project was presented at AAAI 2011 and published in Elsevier Information Processing and Management Journal.","","","","","","","","","","",""
"電子コーパス解析に基づく日英コロケーションの対応・非対応関係の分析","Corpus-based studies of collocational equivalents between Japanese and English","22720225","2010 – 2012","後藤 一章 摂南大学, 外国語学部, 講師 (90397662)","","","","","","","教育工学 / 教材 / 教育メディアー般 / 対訳コロケーション / 日英パラレルコーパス / 自然言語処理 / コロケーション","外国語教育 / 言語学 / 人文学 / 人文社会系","","若手研究(B)","摂南大学","","2990000","2300000","690000","2010:1300000 2011:780000 2012:910000","2010:1000000 2011:600000 2012:700000","2010:300000 2011:180000 2012:210000","","","","本研究課題では,日英パラレルコーパスを利用し,英語の頻出表現とその日本語訳が付与されたリスト,及び日本語の頻出表現とその英語訳が付与されたリストをそれぞれ作成した。自然言語処理分野の手法を援用し,コーパスにおける日本語表現の出現分布と英語表現の出現分布の比較から,対訳関係にある日英・英日表現を抽出した。得られた対訳表現リストは,日本人英語学習者が自然な英文を作成する際の有用な手がかりとなることが期待される。","This research proposes a method to create a bilingual phrasal list using NLP techniques. The similarity of each pair of English and Japanese phrases is calculated based on their frequency distributions in a bilingual corpus to extract bilingual phrasal equivalents automatically. Alist of the extracted bilingual phrases can be expected to be a useful resource for Japanese learners of English.","","","","","","","","","","",""
